id n_ind mle species temp hour mle_bias
CCF_Stool_Chin_1117 3 1 CCF 18.5 60 -2
CCF_Stool_Chin_1118 3 1 CCF 18.5 60 -2
CCF_Stool_Chin_1123 3 1 CCF 15.5 60 -2
CCF_Stool_Chin_1134 3 1 CCF 15.5 36 -2
CCF_Stool_Chin_1142_MISSING 3 1 CCF 15.5 NA -2
CCF_Stool_Chin_951 1 1 CCF 18.5 96 0
CCF_Stool_Chin_957 1 1 CCF 15.5 96 0
CCF_Stool_Chin_959 1 1 CCF 15.5 96 0
CCF_Stool_Chin_965 1 1 CCF 18.5 120 0
CCF_Stool_Chin_967 1 1 CCF 18.5 120 0
CCF_Stool_Chin_972 1 1 CCF 15.5 120 0
CCF_Stool_Chin_975 1 1 CCF 18.5 84 0
CCF_Stool_Chin_978 1 1 CCF 18.5 84 0
CCF_Stool_Chin_979 1 1 CCF 15.5 84 0
CCF_Stool_Chin_998 1 1 CCF 18.5 60 0
LMB_Stool_Chin_526 1 1 LMB 18.5 6 0
LMB_Stool_Chin_528 1 1 LMB 18.5 6 0
LMB_Stool_Chin_529 1 1 LMB 18.5 6 0
LMB_Stool_Chin_532 1 1 LMB 15.5 6 0
LMB_Stool_Chin_533 1 1 LMB 15.5 6 0
LMB_Stool_Chin_534 1 1 LMB 15.5 6 0
LMB_Stool_Chin_536 1 1 LMB 18.5 24 0
LMB_Stool_Chin_541 1 1 LMB 15.5 24 0
LMB_Stool_Chin_542 1 1 LMB 15.5 24 0
LMB_Stool_Chin_543 1 1 LMB 15.5 24 0
LMB_Stool_Chin_553 1 1 LMB 18.5 12 0
LMB_Stool_Chin_555 1 1 LMB 18.5 12 0
LMB_Stool_Chin_557 1 1 LMB 15.5 12 0
LMB_Stool_Chin_559 1 1 LMB 15.5 12 0
LMB_Stool_Chin_568 1 1 LMB 15.5 120 0
LMB_Stool_Chin_573 1 1 LMB 18.5 36 0
LMB_Stool_Chin_575 1 1 LMB 18.5 36 0
LMB_Stool_Chin_577 1 1 LMB 15.5 36 0
LMB_Stool_Chin_578 1 1 LMB 15.5 36 0
LMB_Stool_Chin_580 1 1 LMB 15.5 36 0
LMB_Stool_Chin_581 1 1 LMB 15.5 36 0
LMB_Stool_Chin_598 1 1 LMB 15.5 60 0
LMB_Stool_Chin_599 1 1 LMB 15.5 60 0
LMB_Stool_Chin_600 1 1 LMB 15.5 60 0
LMB_Stool_Chin_601 1 1 LMB 15.5 60 0
LMB_Stool_Chin_602 1 1 LMB 15.5 60 0
LMB_Stool_Chin_612 1 1 LMB 15.5 72 0
LMB_Stool_Chin_618 1 1 LMB 15.5 84 0
LMB_Stool_Chin_619 1 1 LMB 15.5 84 0
LMB_Stool_Chin_621 1 1 LMB 15.5 84 0
LMB_Stool_Chin_622 1 1 LMB 15.5 84 0
LMB_Stool_Chin_629 1 1 LMB 15.5 96 0
LMB_Stool_Chin_630 1 1 LMB 15.5 96 0
LMB_Stool_Chin_631 1 1 LMB 15.5 96 0
LMB_Stool_Chin_632 1 1 LMB 15.5 96 0
LMB_Stool_Chin_635 1 1 LMB 15.5 96 0
LMB_Stool_Chin_641 3 1 LMB 18.5 48 -2
LMB_Stool_Chin_642 3 1 LMB 18.5 48 -2
LMB_Stool_Chin_683 3 1 LMB 18.5 120 -2
LMB_Stool_Chin_688 3 1 LMB 15.5 120 -2
LMB_Stool_Chin_689 3 1 LMB 15.5 120 -2
LMB_Stool_Chin_705 3 1 LMB 18.5 72 -2
LMB_Stool_Chin_708 3 1 LMB 15.5 72 -2
LMB_Stool_Chin_714 3 1 LMB 18.5 84 -2
LMB_Stool_Chin_715 3 1 LMB 18.5 84 -2
LMB_Stool_Chin_721 3 1 LMB 15.5 84 -2
LMB_Stool_Chin_736 3 1 LMB 18.5 96 -2
LMB_Stool_Chin_738 3 1 LMB 15.5 96 -2
LMB_Stool_Chin_745 1 1 LMB 18.5 120 0
LMB_Stool_Chin_752 1 1 LMB 15.5 120 0
LMB_Stool_Chin_753 1 1 LMB 15.5 120 0
LMB_Stool_Chin_778 1 1 LMB 15.5 12 0
LMB_Stool_Chin_783 1 1 LMB 18.5 24 0
LMB_Stool_Chin_792 1 1 LMB 15.5 24 0
LMB_Stool_Chin_801 1 1 LMB 15.5 36 0
LMB_Stool_Chin_818 1 1 LMB 18.5 60 0
LMB_Stool_Chin_824 1 1 LMB 15.5 60 0
LMB_Stool_Chin_836 1 1 LMB 15.5 72 0
LMB_Stool_Chin_839 1 1 LMB 18.5 84 0
LMB_Stool_Chin_845 1 1 LMB 15.5 84 0
LMB_Stool_Chin_848 1 1 LMB 15.5 84 0
LMB_Stool_Chin_849 1 1 LMB 18.5 96 0
LMB_Stool_Chin_853 1 1 LMB 18.5 96 0
LMB_Stool_Chin_857 1 1 LMB 15.5 96 0
LMB_Stool_Chin_863 3 1 LMB 15.5 12 -2
LMB_Stool_Chin_864 3 1 LMB 15.5 12 -2
LMB_Stool_Chin_870 3 1 LMB 18.5 24 -2
LMB_Stool_Chin_892_MISSING 3 1 LMB 15.5 NA -2
LMB_Stool_Chin_894 3 1 LMB 15.5 48 -2
LMB_Stool_Chin_900 3 1 LMB 18.5 6 -2
LMB_Stool_Chin_911 3 1 LMB 18.5 60 -2
LMB_Stool_Chin_925 3 1 LMB 15.5 72 -2
LMB_Stool_Chin_929 3 1 LMB 18.5 84 -2
LMB_Stool_Chin_931_MISSING 3 1 LMB 15.5 NA -2
LMB_Stool_Chin_934_MISSING 3 1 LMB 15.5 NA -2
